# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
chopsticks	🍜,🥡,🥢
choy	🥬
christmas	🎄,🎅,🎁,🤶,🌲,🧑‍🎄
chuck	🤾,🤾‍♂,🤾‍♀
church	👼,🔔
cigarette	🚬
cinco	🪅
cinema	🎥,🎞,📽,🎦
circle	🛞,🔴,🟠,🟡,🟢,🔵,🟣,🟤
circus	🎪
citation	👮,👮‍♂,👮‍♀
citrus	🍊,🍋,🍋‍🟩
city	🏢,🏙,🌆
cityscape	🏙,🌆
cl	🆑
clack	🪭
claim	🛄
clamp	🗜
clap	👏,🪭
clapper	🎬
clapping	👏
class	🚲
classical	🏛
classy	🧐
claus	🎅,🤶,🧑‍🎄
claws	🦞
clay	🧱
clean	🧼,🫧,🪥
cleaning	🧹,🧼,🧽
clearly	💯
clenched	✊,👊
clever	🤓
climate	🪸
climb	🧗,🧗‍♂,🧗‍♀,🪜
climber	🧗,🧗‍♂,🧗‍♀
climbing	🧗,🧗‍♂,🧗‍♀
clink	🍻,🥂
clinking	🍻,🥂
clinking glasses	🥂
clipboard	📋
clock	⌚,⏰,🕰,🕛,🕧,🕐,🕜,🕑,🕝,🕒,🕞,🕓,🕟,🕔,🕠,🕕,🕡,🕖,🕢,🕗,🕣,🕘,🕤,🕙,🕥,🕚,🕦
clockwise	🔃,🔁,🔂
close	😥,😓
closed	😆,😝,🔒,😚,😙,😽,🌂,📕,📫,📪,🔐
closet	🚪,🚾
clothes	🥼,👕,👖,👗,👚,👛,👜,👝,👞,👟,👠,👢,👒,🎩
clothing	👣,🌂,☔,👓,👔,👕,👖,👗,👘,🥻,👙,👚,👛,👜,👝,👞,👟,👠,👡,👢,👑,👒,🎩,🎓,📿
cloud	🫯,💨,💭,🌤,🌥,🌦,🌧,🌨,🌩,🌪,🌫,🌬
clouds	😶‍🌫
clover	🍀
clown	🤡
club	🍷,🍸,🍹
clue	🧩,🫆,🗝
clutch	👝
cmon	🙏
coaster	🎢
coat	🥼,🧥
cockroach	🪳
cocktail	🍋‍🟩,🍸,🍹
coconut	🥥
coder	🧑‍💻,👨‍💻,👩‍💻
coffee	☕
cog	⚙️
cogwheel	⚙️
coin	👛,🪙
colada	🍍,🥥
cold	😅,😷,🥶,😰,😓,🏔️,🧊,🌨,⛄,💧,🧣,🧥
collage	📌
collar	👕,👚
collide	💥
collision	💥
colorful	🎨,🦚
comb	🪮
combat	🤼,🤼‍♂,🤼‍♀
come	🫴
comfort	🫂
comfortable	👘
comfy	🥿
comic	💩,💡,💣,💢,💥,💫,💦,💨,💬,💭,💤,💧,💠
communication	📱,📝,📢,📲,📞,📟,📠,📰,📩,📦,📫,📶,📳
compass	🧭
complicated	😥
compress	🗜
computer	💻,⌨️,🖥️,🖨️,🖱️,🧑‍💻,👨‍💻,👩‍💻,🖲,💽,💾,💿,📀,🛜
concentrate	😣
concentration	😣
concertina	🪗
conch	🐚
condiment	🧂,🫙
confetti	🎊
confounded	😖
confused	😕,😖,😵‍💫,🫤
confusing	😕
confusion	🫤
conga	🪘
congee	🥣
congrats	🎉,👏,🥳
congratulations	👏
connectivity	🛜
consider	🤔
construction	👷,👷‍♂,👷‍♀,🏗,🚧,🚩
contact	🔎,🔭,📡
container	🫙
control	🎛,🛂
controller	🎮
convenience	🏪
convoluted	🥨
cook	🧑‍🍳,👨‍🍳,👩‍🍳
cooked	🍚
cookie	🍪,🥠
cooking	🍳,🍽,🍴,🔪,🏺
cool	😎,😛,🪭,🆒
cooling	🪭
cop	👮,👮‍♂,👮‍♀
cops	🚓
copter	🚁
coral	🪸
cord	🪢
cork	🍾
corn	🌽,🍿
correct	👊
corvid	🐦‍⬛
cosmetics	💅,💄
cosmetology	💇,💇‍♂,💇‍♀
cost	😲,💰,😫
couch	🛋
counterclockwise	🔄
counterpart	👯,👯‍♂,👯‍♀
country	🏠,🏡
couple	🧑‍🤝‍🧑,👭,👫,👬,💏,💑
cover	📔
cow	🐮,🐄
cowboy	🤠
cowgirl	🤠
crab	🦀
cracked	🔓
cracker	🍘
crane	🏗
crayon	🖍
crazy	😜,🤪,😳,🫨
cream	🍦,🍨
creative	🎨
creature	👻,🧜,🐙,👹,👺,👽,👾,🧜‍♂,🧜‍♀,🫈
credentials	🪪
credit	💳
crescent	🌙,🥐,🌒,🌘
cricket	🏏,🦗
crime	🫆
criminal	🦹,🦹‍♂,🦹‍♀
cringe	😖
crochet	🧶
crocodile	🐊
croissant	🥐
crook	🪝
crops	🌽
cross	🤞,🧘,🧘‍♂,🧘‍♀,🎌
crossed	🤞,🫰,🔀,🎌
crossing	🚸
crow	🐦‍⬛
crown	🤴,👸,🫅,👑
cruise	🚣,🚣‍♂,🚣‍♀
crush	🥰
crushed	💔
crutch	🩼
cry	😢,😭,🥹,😿
crying	🤣,😂,😪,😢,😭,😩,😿
cryptid	🫈
crystal	🔮
cube	🧊
cubical	🏢
cucumber	🥒
cuffs	⛓‍💥
culture	🧫
cup	🍵,🥤,🍶,🪠
cupcake	🧁
cupid	💘,🪉
cupped	🤲
curious	🦝
curl	📃
curling	🥌
curls	💪
curly	🦱
currency	💴,💵,💶,💷,💹,💱,💲
curry	🍛
cursing	🤬
curve	🪝
cussing	🤬
custard	🍮
customs	🛃
cut	💇,💇‍♂,💇‍♀,🥩,💈,🪚
cute	🩷,🩵
cutlery	🍴
cya	👋
cyan	🩵
cycle	🚵,🚴,🚲,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀
cycling	🚲
cyclist	🚵,🚴,🚲,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀
cyclone	🌀
cygnet	🦢
dad	👨‍🍼,🧢
dagger	🗡
dairy	🧈
dam	🦫
dance	🕺,💃,🩰,🪩,🪭,🪇
dancer	👯,🕺,💃,🧑‍🩰,👯‍♂,👯‍♀
dancing	🕺,💃
dandelion	🌼
danger	🛘
dangerous	💣
dango	🍡
dapper	😏
dark	🏿,🌑,🕶
dart	🎯
dash	💨
dashing	💨
data	📈,📉,📊
date	💐,😗,😚,😙,💘,💕,💏,💄,📅
date night	❤️,🍷,🌃
dating	😗,😚,😙,💕,💋,🧑‍🤝‍🧑,👭,👫,👬,💏,💑
daughter	👧
day	🧖,🧖‍♂,🧖‍♀,🌞
daydream	💭
daze	🫨
dazed	😳
de	🪅
dead	😑,😵,😳,💀,🧟,🧟‍♂,🧟‍♀,🪾,🪦
deadlift	🏋️,🏋‍♂,🏋‍♀
deadpan	😐
deaf	🧏,🧏‍♂,🧏‍♀
deal	🤝
death	💀
debate	🫯
deciduous	🌳
decisions	💭
decor	🪴
decorated	📔
decoration	💟,🎍
decorative	📔
decreasing	📉
deer	🦌
definitely	💯
deg	🪯
deja	🔄
dejected	😅,😔,😞
delicious	😋,🍴
delivering	📨
delivery	🚚,🥡,📦
demon	😈,👿
demonstration	🪧
denim	👖
dental	🪥
dentist	😬,😷,🦷
department	🏬
departure	🛫
departures	🛫
